"Subscribe Popup","Subscribe Popup"
"Form subscribe title","Form subscribe title"
"Cookies timeout","Cookies timeout"
"Notification","Notification"
"You'll also receive our best deals and decorating ideas. We value our customers and will not sell or rent your email address.","You'll also receive our best deals and decorating ideas. We value our customers and will not sell or rent your email address."
"Set a cookie to expire after X days","Set a cookie to expire after X days"
"Sign Up to stay in the loop","Sign Up to stay in the loop"
"Sign Up","Sign Up"
"Allow create coupon code","Allow create coupon code"
"Email Sender","Email Sender"
"Coupon code","Coupon code"
"Discount Type","Discount Type"
"Discount Amount","Discount Amount"
"Coupon create at","Coupon create at"
"Coupon expires at","Coupon expires at"
"Uses per Coupon","Uses per Coupon"
"We are so glad you subscribed to our newsletter!. To say thanks, we would like to send you a coupon code for your next purchase at our store.","We are so glad you subscribed to our newsletter!. To say thanks, we would like to send you a coupon code for your next purchase at our store."
